# ============================================================
# 台灣加權股價報酬指數（發行量加權股價報酬指數）歷史資料
# ============================================================
#
# 【概念說明】
# 台灣有兩個主要指數：
#   1. 加權指數（Price Index，^TWII）：只反映股價漲跌，不含股利
#   2. 加權報酬指數（Total Return Index，本檔案）：股價漲跌 + 股利自動再投入
#
# 差異範例（2024年）：
#   加權指數 2023年底→2024年底：17,930 → 23,395，漲幅 +30.5%（不含息）
#   報酬指數 2023年底→2024年底：38,641 → 50,903，漲幅 +31.7%（含息）
#   差距 ≈ +1.2%，即 2024 年股利貢獻約 1.2%
#
# 【為何用報酬指數而非加權指數？】
# 投資人實際持有 ETF（如 0050）時，配息可以再投入繼續複利滾動。
# 報酬指數才是真實的「持有並再投入」的長期報酬。
# 用加權指數（不含息）計算滾動報酬，會低估實際年化報酬約 2~3%。
#
# 【資料來源】
# 台灣證券交易所（TWSE）官方 API
# URL: https://www.twse.com.tw/rwd/zh/TAIEX/MFI94U?response=json&date=YYYYMMDD
# 抓取時間：2026-05-31
# 資料範圍：2003-01-02 ~ 2026-05-29（每個交易日收盤值）
#
# 【欄位說明】
# date              : 日期（YYYY-MM-DD，西元）
# tr_index          : 發行量加權股價報酬指數收盤值
# year_end_flag     : Y = 該年最後一個交易日（用於計算年化報酬）
# annual_return_pct : 相對前一年最後交易日的報酬率（%），含股利再投入
# ============================================================
date,tr_index,year_end_flag,annual_return_pct
2005-08-03,6995.11,,
2005-08-04,6992.07,,
2005-08-08,6923.03,,
2005-08-09,6927.89,,
2005-08-10,6910.08,,
2005-08-11,6928.63,,
2005-08-12,6928.18,,
2005-08-15,6813.51,,
2005-08-16,6812.83,,
2005-08-17,6814.63,,
2005-08-18,6779.83,,
2005-08-19,6729.65,,
2005-08-22,6781.88,,
2005-08-23,6770.29,,
2005-08-24,6697.38,,
2005-08-25,6685.44,,
2005-08-26,6714.87,,
2005-08-29,6620.31,,
2005-08-30,6602.38,,
2005-08-31,6605.52,,
2005-09-02,6700.70,,
2005-09-05,6681.91,,
2005-09-06,6727.25,,
2005-09-07,6728.76,,
2005-09-08,6738.51,,
2005-09-09,6704.74,,
2005-09-12,6755.21,,
2005-09-13,6759.74,,
2005-09-14,6737.64,,
2005-09-15,6665.23,,
2005-09-16,6609.24,,
2005-09-19,6615.40,,
2005-09-20,6691.92,,
2005-09-21,6650.43,,
2005-09-22,6546.06,,
2005-09-23,6495.10,,
2005-09-26,6500.21,,
2005-09-27,6516.48,,
2005-09-28,6501.50,,
2005-09-29,6596.00,,
2005-09-30,6715.21,,
2005-10-03,6721.04,,
2005-10-04,6741.05,,
2005-10-05,6733.25,,
2005-10-06,6690.52,,
2005-10-07,6675.20,,
2005-10-11,6658.46,,
2005-10-12,6571.54,,
2005-10-13,6541.60,,
2005-10-14,6551.45,,
